Course,Section,Year,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
BIEN 290,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,main gym,7-10,AAA,ZZZ
BIEN 310,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,ENGTR,100,,AAA,ZZZ
BIEN 314,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,main gym,6-10,AAA,ZZZ
BIEN 410,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,ENGTR,70,,AAA,ZZZ
BIOC 311,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,GYM,main gym,5-25,AAA,ZZZ
BIOC 320,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,28-29,AAA,ZZZ
BIOC 454,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-41,AAA,ZZZ
BIOL 111,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 6:30 PM,14-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-18,AAA,ZZZ
BIOL 115,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,main gym,4-27,AAA,ZZZ
BIOL 200,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,GYM,Fieldhouse,29-42,AAA,ZZZ
BIOL 200,2,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,GYM,Fieldhouse,9-28,AAA,ZZZ
BIOL 215,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Studio 1,1-7,AAA,LYU
BIOL 215,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Studio 2,1-7,MAC,ZZZ
BIOL 300,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,Fieldhouse,25-26,AAA,ZZZ
BIOL 302,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,GYM,Fieldhouse,30-32,AAA,ZZZ
BIOL 304,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Fieldhouse,30,AAA,ZZZ
BIOL 306,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,GYM,Fieldhouse,23-29,AAA,ZZZ
