Course,Section,Course_Title,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
BREE 319,1,Engineering Mathematics,IN-PERSON - FORMAL EXAM - MAC CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 322,1,Organic Waste Management,IN-PERSON - FORMAL EXAM - MAC CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 324,1,Elements of Food Engineering,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 325,1,Food Process Engineering,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 327,1,Bio-Environmental Engineering,IN-PERSON - FORMAL EXAM - MAC CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 415,1,Design of Mach.&Struct.Elems,IN-PERSON - FORMAL EXAM - MAC CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 416,1,Eng for Land Development,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BTEC 501,1,Bioinformatics,IN-PERSON - FORMAL EXAM - MAC CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BUSA 391,71,International Business Law,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,Fieldhouse,9,AAA,ZZZ
CANS 200,1,Understanding Canada,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,Fieldhouse,31-36,AAA,ZZZ
CANS 300,1,Topics in Canadian Studies 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 6:30 PM,12-Dec-2023 at 9:30 PM,GYM,main gym,7-8,AAA,ZZZ
CANS 308,1,Sex and Gender in Canada,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,main gym,9-11,AAA,ZZZ
CATH 200,1,Introduction to Catholicism,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,12-Dec-2023 at 6:30 PM,12-Dec-2023 at 9:30 PM,STBIO,N2/2,,AAA,ZZZ
CHEE 200,1,Chem Engineering Principles 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,Studio 1,1-7,AAA,ZZZ
CHEE 231,1,Data Anal & Design of Exp,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,11-Dec-2023 at 12:00 PM,GYM,main gym,4-9,AAA,ZZZ
CHEE 314,1,Fluid Mechanics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,GYM,Fieldhouse,30-32,AAA,ZZZ
CHEE 370,1,Elements of Biotechnology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-43,AAA,ZZZ
CHEE 380,1,Materials Science,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-43,AAA,ZZZ
CHEE 400,1,Princ of Energy Conversion,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,Fieldhouse,28-29,AAA,ZZZ
CHEE 423,1,Chemical Reaction Engineering,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,11-Dec-2023 at 12:00 PM,ENGTR,100,,AAA,ZZZ
CHEE 453,1,Process Design,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,ENGTR,100,,AAA,ZZZ
CHEE 455,1,Process Control,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,main gym,11-15,AAA,ZZZ
CHEE 563,1,Biofluids&Cardiovascular Mech.,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,main gym,18-20,AAA,ZZZ
CHEE 591,1,Environmental Bioremediation,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 6:30 PM,14-Dec-2023 at 9:30 PM,GYM,Fieldhouse,41-42,AAA,ZZZ
CHEM 110,1,General Chemistry 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-30,AAA,ZZZ
CHEM 110,2,General Chemistry 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-30,AAA,ZZZ
CHEM 183,1,World of Chem: Drugs,ONLINE - TAKE-HOME - 72 HOURS,8-Dec-2023 at 6:30 PM,11-Dec-2023 at 6:30 PM,ONLINE,EXAM,,AAA,ZZZ
CHEM 203,1,Survey of Physical Chemistry,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,main gym,30-38,AAA,ZZZ
